title,author,year,doi,url
,,2011,https://doi.org/10.1016/B978-0-12-385017-1.00011-0,https://www.sciencedirect.com/science/article/pii/B9780123850171000110
"""We Have No Idea How Models will Behave in Production until Production"": How Engineers Operationalize Machine Learning","Shankar, Shreya and Garcia, Rolando and Hellerstein, Joseph M. and Parameswaran, Aditya G.",2024,10.1145/3653697,https://doi.org/10.1145/3653697
(WIP) CloudCAMP: Automating the Deployment and Management of Cloud Services,"Bhattacharjee, Anirban and Barve, Yogesh and Gokhale, Aniruddha and Kuroda, Takayuki",2018,10.1109/SCC.2018.00038,
13th International Munich Chassis Symposium 2022,Peter Pfeffer,2024,10.1007/978-3-662-68160-2,http://link.springer.com/book/10.1007/978-3-662-68160-2
16th WCEAM Proceedings,Adolfo Crespo MárquezJuan Francisco Gómez FernándezVicente González-Prida DíazJoe Amadi-Echendu,2023,10.1007/978-3-031-25448-2,http://link.springer.com/book/10.1007/978-3-031-25448-2
1st workshop on DevOps@MODELS,"Bordeleau, Francis and Bruel, Jean-Michel and Cabot, Jordi and Dingel, Juergen and Mosser, S\'{e}bastien",2021,10.1109/MODELS-C.2019.00089,https://doi.org/10.1109/MODELS-C.2019.00089
2024 Stuttgart International Symposium on Automotive and Engine Technology,André Casal KulzerHans-Christian ReussAndreas Wagner,2024,10.1007/978-3-658-45018-2,http://link.springer.com/book/10.1007/978-3-658-45018-2
2PC*: a distributed transaction concurrency control protocol of multi-microservice based on cloud computing platform,Pan FanJing LiuWei YinHui WangXiaohong ChenHaiying Sun,2020,10.1186/s13677-020-00183-w,http://link.springer.com/article/10.1186/s13677-020-00183-w
5G experiment design through Blueprint,Mauro Femminella and Matteo Pergolesi and Gianluca Reali,2021,https://doi.org/10.1016/j.comnet.2021.107948,https://www.sciencedirect.com/science/article/pii/S1389128621000864
"5G network slicing using SDN and NFV: A survey of taxonomy, architectures and future challenges",Alcardo Alex Barakabitze and Arslan Ahmad and Rashid Mijumbi and Andrew Hines,2020,https://doi.org/10.1016/j.comnet.2019.106984,https://www.sciencedirect.com/science/article/pii/S1389128619304773
6G: The Intelligent Network,Dr. Mladen BožanićProf. Saurabh Sinha,2021,10.1007/978-3-030-69273-5_8,http://link.springer.com/chapter/10.1007/978-3-030-69273-5_8
9th International Workshop on Software Engineering for ELearning (ISELEAR'18),"Conde, Miguel \'{A}. and Sarasa-Cabezuelo, Antonio and Sierra, Jos\'{e}-Luis",2018,10.1145/3284179.3284327,https://doi.org/10.1145/3284179.3284327
A Case Study on the Impact of Forensic-Ready Information Systems on the Security Posture,Lukas DaubnerRaimundas MatulevičiusBarbora BuhnovaMatej AntolMichal RůžičkaTomas Pitner,2023,10.1007/978-3-031-34560-9_31,http://link.springer.com/chapter/10.1007/978-3-031-34560-9_31
A Case for a New IT Ecosystem: On-The-Fly Computing,Holger KarlDennis KundischFriedhelm Meyer auf der HeideHeike Wehrheim,2020,10.1007/s12599-019-00627-x,http://link.springer.com/article/10.1007/s12599-019-00627-x
A Collaborative Cyber-Physical Microservices Platform – the SITL-IoT Case,Carlos GonçalvesA. Luís OsórioLuís M. Camarinha-MatosTiago DiasJosé Tavares,2021,10.1007/978-3-030-85969-5_38,http://link.springer.com/chapter/10.1007/978-3-030-85969-5_38
A Comparison Framework and Review of Service Brokerage Solutions for Cloud Architectures,Frank FowleyClaus PahlLi Zhang,2014,10.1007/978-3-319-06859-6_13,http://link.springer.com/chapter/10.1007/978-3-319-06859-6_13
A Concrete Syntax Transformation Approach for Software Language Processing,Kevin LanoQiaomu XueHoward Haughton,2024,10.1007/s42979-024-02979-y,http://link.springer.com/article/10.1007/s42979-024-02979-y
A Context-Aware Service for Authorizing Multi-cloud Deployments,Yiannis VerginadisIoannis PatiniotakisGregoris Mentzas,2019,10.1007/978-3-030-15035-8_98,http://link.springer.com/chapter/10.1007/978-3-030-15035-8_98
A Cross-Domain Systematic Mapping Study on Software Engineering for Digital Twins,Manuela Dalibor and Nico Jansen and Bernhard Rumpe and David Schmalzing and Louis Wachtmeister and Manuel Wimmer and Andreas Wortmann,2022,https://doi.org/10.1016/j.jss.2022.111361,https://www.sciencedirect.com/science/article/pii/S0164121222000917
A DMN-Based Approach for Dynamic Deployment Modelling of Cloud Applications,Frank GriesingerDaniel SeyboldJörg DomaschkaKyriakos KritikosRobert Woitsch,2018,10.1007/978-3-319-72125-5_8,http://link.springer.com/chapter/10.1007/978-3-319-72125-5_8
A DevOps framework for quality-driven self-protection in web software systems,"Beigi-Mohammadi, Nasim and Litoiu, Marin and Emami-Taba, Mahsa and Tahvildari, Ladan and Fokaefs, Marios and Merlo, Ettore and Onut, Iosif Viorel",2018,,
A Domain-Specific Language for Monitoring ML Model Performance,"Kourouklidis, Panagiotis and Kolovos, Dimitris and Noppen, Joost and Matragkas, Nicholas",2023,10.1109/MODELS-C59198.2023.00056,
A Full-Digital Test Method for Satellite-Borne Software,Pan XinJiao Rong-HuiHe Jing,2023,10.1007/978-981-19-9968-0_7,http://link.springer.com/chapter/10.1007/978-981-19-9968-0_7
A Journey into Security Certification,Marco AnisettiClaudio Agostino ArdagnaErnesto DamianiNabil El Ioini,2025,10.1007/978-3-031-59724-4,http://link.springer.com/book/10.1007/978-3-031-59724-4
A Low-Code Approach for Connected Robots,Rafail BrouzosKonstantinos PanayiotouEmmanouil TsardouliasAndreas Symeonidis,2023,10.1007/s10846-023-01861-y,http://link.springer.com/article/10.1007/s10846-023-01861-y
A Low-Code Development Environment to Orchestrate Model Management Services,Arsene IndamutsaDavide Di RuscioAlfonso Pierantonio,2021,10.1007/978-3-030-85874-2_36,http://link.springer.com/chapter/10.1007/978-3-030-85874-2_36
A Method and Programming Model for Developing Interacting Cloud Applications Based on the TOSCA Standard,Michael ZimmermannUwe BreitenbücherFrank Leymann,2018,10.1007/978-3-319-93375-7_13,http://link.springer.com/chapter/10.1007/978-3-319-93375-7_13
A Microservice-based Middleware for the Digital Factory,Michele Ciavotta and Marino Alge and Silvia Menato and Diego Rovere and Paolo Pedrazzoli,2017,https://doi.org/10.1016/j.promfg.2017.07.197,https://www.sciencedirect.com/science/article/pii/S2351978917304055
A Model Driven Intelligent Orchestration Approach to Service Automation in Large Distributed Infrastructures,"Yang, Xi and Lehman, Tom and Kettimuthu, Raj and Winkler, Linda and Jung, Eun-Sung",2018,10.1145/3217197.3217207,https://doi.org/10.1145/3217197.3217207
A Model-Driven Approach Towards Automatic Migration to Microservices,Antonio BucchiaroneKemal SoysalClaudio Guidi,2020,10.1007/978-3-030-39306-9_2,http://link.springer.com/chapter/10.1007/978-3-030-39306-9_2
A Model-Driven Approach for Systematic Reproducibility and Replicability of Data Science Projects,Fran MelchorRoberto Rodriguez-EcheverriaJosé M. ConejeroÁlvaro E. PrietoJuan D. Gutiérrez,2022,10.1007/978-3-031-07472-1_9,http://link.springer.com/chapter/10.1007/978-3-031-07472-1_9
A Model-Driven Approach to Continuous Delivery of Cloud Resources,Julio Sandobalin,2018,10.1007/978-3-319-91764-1_29,http://link.springer.com/chapter/10.1007/978-3-319-91764-1_29
A Model-Driven Architectural Design Method for Big Data Analytics Applications,"Castellanos, Camilo and Pérez, Boris and Correal, Darío and Varela, Carlos A.",2020,10.1109/ICSA-C50368.2020.00026,
A Model-Driven DevOps Framework for QoS-Aware Cloud Applications,"Guerriero, Michele and Ciavotta, Michele and Gibilisco, Giovanni Paolo and Ardagna, Danilo",2015,10.1109/SYNASC.2015.60,
A Model-Driven Engineering Framework to Support the Functional Safety Process,"Meyers, Bart and Gadeyne, Klaas and Oakes, Bentley and Bernaerts, Matthias and Vangheluwe, Hans and Denil, Joachim",2019,10.1109/MODELS-C.2019.00094,
