title,author,year,doi,url,Inclusion/Exclusion criteria
"Architecture and Patterns for IT Service Management, Resource Planning, and Governance: Making Shoes for the Cobbler's Children (Second Edition)",,2011,https://doi.org/10.1016/B978-0-12-385017-1.00011-0,https://www.sciencedirect.com/science/article/pii/B9780123850171000110,EC1
"""We Have No Idea How Models will Behave in Production until Production"": How Engineers Operationalize Machine Learning","Shankar, Shreya and Garcia, Rolando and Hellerstein, Joseph M. and Parameswaran, Aditya G.",2024,10.1145/3653697,https://doi.org/10.1145/3653697,EC2
Cloud MF: Applying MDE to Tame the Complexity of Managing Multi-cloud Applications,"Ferry, Nicolas and Song, Hui and Rossini, Alessandro and Chauvel, Franck and Solberg, Arnor",2014,10.1109/UCC.2014.36,https://doi.org/10.1109/UCC.2014.36,EC9
13th International Munich Chassis Symposium 2022,Peter Pfeffer,2024,10.1007/978-3-662-68160-2,http://link.springer.com/book/10.1007/978-3-662-68160-2,EC5
16th WCEAM Proceedings,Adolfo Crespo MárquezJuan Francisco Gómez FernándezVicente González-Prida DíazJoe Amadi-Echendu,2023,10.1007/978-3-031-25448-2,http://link.springer.com/book/10.1007/978-3-031-25448-2,EC5
1st workshop on DevOps@MODELS,"Bordeleau, Francis and Bruel, Jean-Michel and Cabot, Jordi and Dingel, Juergen and Mosser, S\'{e}bastien",2021,10.1109/MODELS-C.2019.00089,https://doi.org/10.1109/MODELS-C.2019.00089,EC5
2024 Stuttgart International Symposium on Automotive and Engine Technology,André Casal KulzerHans-Christian ReussAndreas Wagner,2024,10.1007/978-3-658-45018-2,http://link.springer.com/book/10.1007/978-3-658-45018-2,EC5
2PC*: a distributed transaction concurrency control protocol of multi-microservice based on cloud computing platform,Pan FanJing LiuWei YinHui WangXiaohong ChenHaiying Sun,2020,10.1186/s13677-020-00183-w,http://link.springer.com/article/10.1186/s13677-020-00183-w,EC1
5G experiment design through Blueprint,Mauro Femminella and Matteo Pergolesi and Gianluca Reali,2021,https://doi.org/10.1016/j.comnet.2021.107948,https://www.sciencedirect.com/science/article/pii/S1389128621000864,EC1
"5G network slicing using SDN and NFV: A survey of taxonomy, architectures and future challenges",Alcardo Alex Barakabitze and Arslan Ahmad and Rashid Mijumbi and Andrew Hines,2020,https://doi.org/10.1016/j.comnet.2019.106984,https://www.sciencedirect.com/science/article/pii/S1389128619304773,EC1
6G: The Intelligent Network,Dr. Mladen BožanićProf. Saurabh Sinha,2021,10.1007/978-3-030-69273-5_8,http://link.springer.com/chapter/10.1007/978-3-030-69273-5_8,EC1
9th International Workshop on Software Engineering for ELearning (ISELEAR'18),"Conde, Miguel \'{A}. and Sarasa-Cabezuelo, Antonio and Sierra, Jos\'{e}-Luis",2018,10.1145/3284179.3284327,https://doi.org/10.1145/3284179.3284327,EC5
A Case Study on the Impact of Forensic-Ready Information Systems on the Security Posture,Lukas DaubnerRaimundas MatulevičiusBarbora BuhnovaMatej AntolMichal RůžičkaTomas Pitner,2023,10.1007/978-3-031-34560-9_31,http://link.springer.com/chapter/10.1007/978-3-031-34560-9_31,EC1
A Case for a New IT Ecosystem: On-The-Fly Computing,Holger KarlDennis KundischFriedhelm Meyer auf der HeideHeike Wehrheim,2020,10.1007/s12599-019-00627-x,http://link.springer.com/article/10.1007/s12599-019-00627-x,EC1
A Collaborative Cyber-Physical Microservices Platform – the SITL-IoT Case,Carlos GonçalvesA. Luís OsórioLuís M. Camarinha-MatosTiago DiasJosé Tavares,2021,10.1007/978-3-030-85969-5_38,http://link.springer.com/chapter/10.1007/978-3-030-85969-5_38,EC1
A Comparison Framework and Review of Service Brokerage Solutions for Cloud Architectures,Frank FowleyClaus PahlLi Zhang,2014,10.1007/978-3-319-06859-6_13,http://link.springer.com/chapter/10.1007/978-3-319-06859-6_13,EC1
