Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Model-Driven ML-Ops for Intelligent Enterprise Applications: Vision, Approaches and Challenges","Business Modeling and Software Design","","","","10.1007/978-3-030-52306-0_11","Willem-Jan van den HeuvelDamian A. Tamburri","2020","http://link.springer.com/chapter/10.1007/978-3-030-52306-0_11","Chapter"
"A Model-Driven Framework for Interoperable Cloud Resources Management","Service-Oriented Computing","","","","10.1007/978-3-319-46295-0_12","Denis WeerasiriMoshe Chai BarukhBoualem BenatallahJian Cao","2016","http://link.springer.com/chapter/10.1007/978-3-319-46295-0_12","Chapter"
"Using DevOps toolchains in Agile model-driven engineering","Software and Systems Modeling","","21","4","10.1007/s10270-022-01003-2","Jörn Guy SüßSamantha SwiftEban Escott","2022","http://link.springer.com/article/10.1007/s10270-022-01003-2","Article"
"Applying Model-Driven Engineering to Stimulate the Adoption of DevOps Processes in Small and Medium-Sized Development Organizations","SN Computer Science","","2","6","10.1007/s42979-021-00825-z","Jonas SorgallaPhilip WizentyFlorian RademacherSabine SachwehAlbert Zündorf","2021","http://link.springer.com/article/10.1007/s42979-021-00825-z","Article"
"Blockchain Application Development Using Model-Driven Engineering and Low-Code Platforms: A Survey","Enterprise, Business-Process and Information Systems Modeling","","","","10.1007/978-3-031-07475-2_14","Simon CurtyFelix HärerHans-Georg Fill","2022","http://link.springer.com/chapter/10.1007/978-3-031-07475-2_14","Chapter"
"Towards Model-Driven Infrastructure Provisioning for Multiple Clouds","Advances in Information Systems Development","","","","10.1007/978-3-030-22993-1_12","J. SandobalinE. InsfranS. Abrahao","2019","http://link.springer.com/chapter/10.1007/978-3-030-22993-1_12","Chapter"
"A Model-Driven Approach to Continuous Delivery of Cloud Resources","Service-Oriented Computing – ICSOC 2017 Workshops","","","","10.1007/978-3-319-91764-1_29","Julio Sandobalin","2018","http://link.springer.com/chapter/10.1007/978-3-319-91764-1_29","Chapter"
"Introduction to the theme section on Agile model-driven engineering","Software and Systems Modeling","","21","4","10.1007/s10270-022-01016-x","Kevin LanoShekoufeh Kolahdouz-RahimiJavier TroyaHessa Alfraihi","2022","http://link.springer.com/article/10.1007/s10270-022-01016-x","Article"
"Graphical and Textual Model-Driven Microservice Development","Microservices","","","","10.1007/978-3-030-31646-4_7","Florian RademacherJonas SorgallaPhilip WizentySabine SachwehAlbert Zündorf","2020","http://link.springer.com/chapter/10.1007/978-3-030-31646-4_7","Chapter"
"Cloud Native Architecture and Design","","","","","10.1007/978-1-4842-7226-8","Shivakumar R Goniwada","2022","http://link.springer.com/book/10.1007/978-1-4842-7226-8","Book"
